rt,responses,trial_type,time_elapsed,image_type,sequence,stimulus,cities,city_images,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,linedressed_detor,detour_trial
6555.300000011921,{worker_id:5da8768c2a921500145c6a0d},id_enter,6560,fictional,interleaved,flights,Hollendale; North Arroya; Cedarwyn; Delaro Park; Hawthorne Bluffs; Orchard Bend; Sunmere; New Verdan; Baymarsh; Claywater; Riverlyn; Granton Ridge; Juniper Creek,US_Cities_List/carmel.png; US_Cities_List/newhope.png; US_Cities_List/huntsville.png; US_Cities_List/cornwall.png; US_Cities_List/shreveport.png; US_Cities_List/peoria.png; US_Cities_List/hotsprings.png; US_Cities_List/racine.png; US_Cities_List/leesburg.png; US_Cities_List/boulder.png; US_Cities_List/westpalmbeach.png; US_Cities_List/hanover.png; US_Cities_List/gatlinburg.png,,,,,,,,,,,,,,,,,,,,,,,
18733.69999998808,,fullscreen,25300,,,make_fullscreen,,,0,,,,,,,,,,,,,,,,,,,,,,
5145.5999999940395,,intro_1,30450,,,instruct,,,0,,,,,,,,,,,,,,,,,,,,,,
76354.69999998808,,intro_2,106808,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
26875,,intro_3,133685,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
49943.40000000596,,intro_4,183630,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
6758.5999999940395,,intro_5,190390,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
17219.09999999404,,intro_6,207611,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
71265.40000000596,,intro_7,278877,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_1,281880,,,lean_prac_1,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,html-keyboard-response,282883,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
7838.9000000059605,,intro_1,290724,,,instruct,,,0,,,,,,,,,,,,,,,,,,,,,,
13432.200000017881,,intro_2,304157,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_2,307159,,,lean_prac_2,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,html-keyboard-response,308161,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
11650.59999999404,,intro_1,319813,,,instruct,,,0,,,,,,,,,,,,,,,,,,,,,,
29071.30000001192,,intro_2,348886,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
12139.299999982119,,intro_3,361027,,,instruct,,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,361826,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
465.40000000596046,,prac_atten_color,362434,,,prac_stop_color,,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,364437,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,365237,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
341.69999998807907,,prac_atten_color,366277,,,prac_stop_color,,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,368279,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,368646,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
529.4000000059605,,prac_atten_color,369703,,,prac_stop_color,,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,371706,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,372054,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,372490,,,prac_stop_color,,,,,null,,,,,,,,,,,,,,,,,,,,
147.59999999403954,,prac_atten_color_black,374492,,,black_plus_sign,,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,375462,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
526.2000000178814,,prac_atten_color,376144,,,prac_stop_color,,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,378145,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,378869,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
430.80000001192093,,prac_atten_color,379899,,,prac_stop_color,,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,381902,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,382278,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,382902,,,prac_stop_color,,,,,null,,,,,,,,,,,,,,,,,,,,
14,,prac_atten_color_black,384904,,,black_plus_sign,,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,385687,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,386169,,,prac_stop_color,,,,,null,,,,,,,,,,,,,,,,,,,,
183,,prac_atten_color_black,388170,,,black_plus_sign,,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,389095,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
476.7000000178814,,prac_atten_color,390143,,,prac_stop_color,,,,,50,,,,,,,,,,,,,,,,,,,,
276.90000000596046,,prac_atten_color_black,392145,,,black_plus_sign,,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,392504,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,393013,,,prac_stop_color,,,,,null,,,,,,,,,,,,,,,,,,,,
76.09999999403954,,prac_atten_color_black,395015,,,black_plus_sign,,,,,49,,,,,,,,,,,,,,,,,,,,
7307.300000011921,,attentioncheck_feedback,402325,,,cross_check_feedback,,,0,,,,,,,,,,,,,,,,,,,,,,
4067.0999999940395,,last_instruct,406393,,,instruct,,,,,32,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),409409,,,black_plus_sign,,,,,null,US_Cities_List/boulder.png,US_Cities_List/racine.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),410015,,,yellow,,,,,null,US_Cities_List/boulder.png,US_Cities_List/racine.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,410518,,,yellow,,,,,null,US_Cities_List/boulder.png,US_Cities_List/racine.png,,,,,,,,,,,,,,,,,,
1323.199999988079,,rt_thecrossant_black,411918,,,black_plus_sign,,,,,50,,,1,1,,,,,,,,,,,,,,,,
null,,color_black,412021,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),415038,,,black_plus_sign,,,,,null,US_Cities_List/westpalmbeach.png,US_Cities_List/huntsville.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),415826,,,blue,,,,,null,US_Cities_List/westpalmbeach.png,US_Cities_List/huntsville.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,416328,,,blue,,,,,null,US_Cities_List/westpalmbeach.png,US_Cities_List/huntsville.png,,,,,,,,,,,,,,,,,,
913.0999999940395,,rt_thecrossant_black,417553,,,black_plus_sign,,,,,49,,,1,1,,,,,,,,,,,,,,,,
null,,color_black,417657,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),420681,,,black_plus_sign,,,,,null,US_Cities_List/newhope.png,US_Cities_List/huntsville.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),421291,,,yellow,,,,,null,US_Cities_List/newhope.png,US_Cities_List/huntsville.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,421793,,,yellow,,,,,null,US_Cities_List/newhope.png,US_Cities_List/huntsville.png,,,,,,,,,,,,,,,,,,
1104.9000000059605,,rt_thecrossant_black,423188,,,black_plus_sign,,,,,50,,,1,1,,,,,,,,,,,,,,,,
null,,color_black,423291,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),426312,,,black_plus_sign,,,,,null,US_Cities_List/carmel.png,US_Cities_List/newhope.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),427306,,,blue,,,,,null,US_Cities_List/carmel.png,US_Cities_List/newhope.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,427809,,,blue,,,,,null,US_Cities_List/carmel.png,US_Cities_List/newhope.png,,,,,,,,,,,,,,,,,,
787.8000000119209,,rt_thecrossant_black,428819,,,black_plus_sign,,,,,49,,,1,1,,,,,,,,,,,,,,,,
null,,color_black,428922,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),431949,,,black_plus_sign,,,,,null,US_Cities_List/cornwall.png,US_Cities_List/newhope.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),432754,,,yellow,,,,,null,US_Cities_List/cornwall.png,US_Cities_List/newhope.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,433258,,,yellow,,,,,null,US_Cities_List/cornwall.png,US_Cities_List/newhope.png,,,,,,,,,,,,,,,,,,
1246.9000000059605,,rt_thecrossant_black,434458,,,black_plus_sign,,,,,50,,,1,1,,,,,,,,,,,,,,,,
null,,color_black,434562,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),437579,,,black_plus_sign,,,,,null,US_Cities_List/boulder.png,US_Cities_List/racine.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),438432,,,blue,,,,,null,US_Cities_List/boulder.png,US_Cities_List/racine.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,438934,,,blue,,,,,null,US_Cities_List/boulder.png,US_Cities_List/racine.png,,,,,,,,,,,,,,,,,,
968.5999999940395,,rt_thecrossant_black,440086,,,black_plus_sign,,,,,49,,,1,1,,,,,,,,,,,,,,,,
null,,color_black,440188,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),443218,,,black_plus_sign,,,,,null,US_Cities_List/westpalmbeach.png,US_Cities_List/leesburg.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),443969,,,yellow,,,,,null,US_Cities_List/westpalmbeach.png,US_Cities_List/leesburg.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,444471,,,yellow,,,,,null,US_Cities_List/westpalmbeach.png,US_Cities_List/leesburg.png,,,,,,,,,,,,,,,,,,
1178.800000011921,,rt_thecrossant_black,445727,,,black_plus_sign,,,,,50,,,1,1,,,,,,,,,,,,,,,,
null,,color_black,445830,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),448859,,,black_plus_sign,,,,,null,US_Cities_List/hotsprings.png,US_Cities_List/gatlinburg.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),449423,,,yellow,,,,,null,US_Cities_List/hotsprings.png,US_Cities_List/gatlinburg.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,449925,,,yellow,,,,,null,US_Cities_List/hotsprings.png,US_Cities_List/gatlinburg.png,,,,,,,,,,,,,,,,,,
899,,rt_thecrossant_black,451375,,,black_plus_sign,,,,,50,,,1,1,,,,,,,,,,,,,,,,
null,,color_black,451477,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),454502,,,black_plus_sign,,,,,null,US_Cities_List/shreveport.png,US_Cities_List/cornwall.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),455467,,,yellow,,,,,null,US_Cities_List/shreveport.png,US_Cities_List/cornwall.png,,,,,,,,,,,,,,,,,,
402.60000002384186,,rt_plussign_withcolor,455969,,,yellow,,,,,50,US_Cities_List/shreveport.png,US_Cities_List/cornwall.png,,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black,457009,,,black_plus_sign,,,,,null,,,1,1,,,,,,,,,,,,,,,,
null,,color_black,457112,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),460136,,,black_plus_sign,,,,,null,US_Cities_List/westpalmbeach.png,US_Cities_List/huntsville.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),460563,,,blue,,,,,null,US_Cities_List/westpalmbeach.png,US_Cities_List/huntsville.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,461065,,,blue,,,,,null,US_Cities_List/westpalmbeach.png,US_Cities_List/huntsville.png,,,,,,,,,,,,,,,,,,
1070.2000000178814,,rt_thecrossant_black,462643,,,black_plus_sign,,,,,49,,,1,1,,,,,,,,,,,,,,,,
null,,color_black,462746,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),465767,,,black_plus_sign,,,,,null,US_Cities_List/peoria.png,US_Cities_List/leesburg.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),466583,,,yellow,,,,,null,US_Cities_List/peoria.png,US_Cities_List/leesburg.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,467085,,,yellow,,,,,null,US_Cities_List/peoria.png,US_Cities_List/leesburg.png,,,,,,,,,,,,,,,,,,
524.1999999880791,,rt_thecrossant_black,468275,,,black_plus_sign,,,,,50,,,1,1,,,,,,,,,,,,,,,,
null,,color_black,468378,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),471412,,,black_plus_sign,,,,,null,US_Cities_List/hotsprings.png,US_Cities_List/peoria.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),471829,,,blue,,,,,null,US_Cities_List/hotsprings.png,US_Cities_List/peoria.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,472330,,,blue,,,,,null,US_Cities_List/hotsprings.png,US_Cities_List/peoria.png,,,,,,,,,,,,,,,,,,
1001.0999999940395,,rt_thecrossant_black,473926,,,black_plus_sign,,,,,49,,,1,1,,,,,,,,,,,,,,,,
null,,color_black,474029,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),477061,,,black_plus_sign,,,,,null,US_Cities_List/hotsprings.png,US_Cities_List/leesburg.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),477659,,,blue,,,,,null,US_Cities_List/hotsprings.png,US_Cities_List/leesburg.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,478161,,,blue,,,,,null,US_Cities_List/hotsprings.png,US_Cities_List/leesburg.png,,,,,,,,,,,,,,,,,,
612.9000000059605,,rt_thecrossant_black,479575,,,black_plus_sign,,,,,49,,,1,1,,,,,,,,,,,,,,,,
null,,color_black,479678,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),482696,,,black_plus_sign,,,,,null,US_Cities_List/hanover.png,US_Cities_List/westpalmbeach.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),483638,,,blue,,,,,null,US_Cities_List/hanover.png,US_Cities_List/westpalmbeach.png,,,,,,,,,,,,,,,,,,
482.40000000596046,,rt_plussign_withcolor,484140,,,blue,,,,,49,US_Cities_List/hanover.png,US_Cities_List/westpalmbeach.png,,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black,485202,,,black_plus_sign,,,,,null,,,1,1,,,,,,,,,,,,,,,,
null,,color_black,485305,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),488335,,,black_plus_sign,,,,,null,US_Cities_List/newhope.png,US_Cities_List/carmel.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),488813,,,blue,,,,,null,US_Cities_List/newhope.png,US_Cities_List/carmel.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,489315,,,blue,,,,,null,US_Cities_List/newhope.png,US_Cities_List/carmel.png,,,,,,,,,,,,,,,,,,
1066.6000000238419,,rt_thecrossant_black,490843,,,black_plus_sign,,,,,49,,,1,1,,,,,,,,,,,,,,,,
null,,color_black,490946,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),493973,,,black_plus_sign,,,,,null,US_Cities_List/westpalmbeach.png,US_Cities_List/leesburg.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),494602,,,blue,,,,,null,US_Cities_List/westpalmbeach.png,US_Cities_List/leesburg.png,,,,,,,,,,,,,,,,,,
494.19999998807907,,rt_plussign_withcolor,495103,,,blue,,,,,49,US_Cities_List/westpalmbeach.png,US_Cities_List/leesburg.png,,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black,496479,,,black_plus_sign,,,,,null,,,1,1,,,,,,,,,,,,,,,,
null,,color_black,496582,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),499602,,,black_plus_sign,,,,,null,US_Cities_List/shreveport.png,US_Cities_List/cornwall.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),500133,,,blue,,,,,null,US_Cities_List/shreveport.png,US_Cities_List/cornwall.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,500635,,,blue,,,,,null,US_Cities_List/shreveport.png,US_Cities_List/cornwall.png,,,,,,,,,,,,,,,,,,
800.5,,rt_thecrossant_black,502110,,,black_plus_sign,,,,,49,,,1,1,,,,,,,,,,,,,,,,
null,,color_black,502213,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),505229,,,black_plus_sign,,,,,null,US_Cities_List/hanover.png,US_Cities_List/westpalmbeach.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),505954,,,blue,,,,,null,US_Cities_List/hanover.png,US_Cities_List/westpalmbeach.png,,,,,,,,,,,,,,,,,,
495.19999998807907,,rt_plussign_withcolor,506455,,,blue,,,,,49,US_Cities_List/hanover.png,US_Cities_List/westpalmbeach.png,,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black,507735,,,black_plus_sign,,,,,null,,,1,1,,,,,,,,,,,,,,,,
null,,color_black,507838,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),510857,,,black_plus_sign,,,,,null,US_Cities_List/hotsprings.png,US_Cities_List/racine.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),511502,,,yellow,,,,,null,US_Cities_List/hotsprings.png,US_Cities_List/racine.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,512006,,,yellow,,,,,null,US_Cities_List/hotsprings.png,US_Cities_List/racine.png,,,,,,,,,,,,,,,,,,
942.6999999880791,,rt_thecrossant_black,513380,,,black_plus_sign,,,,,50,,,1,1,,,,,,,,,,,,,,,,
null,,color_black,513483,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),516515,,,black_plus_sign,,,,,null,US_Cities_List/peoria.png,US_Cities_List/leesburg.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),516928,,,yellow,,,,,null,US_Cities_List/peoria.png,US_Cities_List/leesburg.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,517430,,,yellow,,,,,null,US_Cities_List/peoria.png,US_Cities_List/leesburg.png,,,,,,,,,,,,,,,,,,
745.4000000059605,,rt_thecrossant_black,519023,,,black_plus_sign,,,,,50,,,1,1,,,,,,,,,,,,,,,,
null,,color_black,519131,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),522152,,,black_plus_sign,,,,,null,US_Cities_List/peoria.png,US_Cities_List/leesburg.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),522724,,,yellow,,,,,null,US_Cities_List/peoria.png,US_Cities_List/leesburg.png,,,,,,,,,,,,,,,,,,
488.90000000596046,,rt_plussign_withcolor,523226,,,yellow,,,,,50,US_Cities_List/peoria.png,US_Cities_List/leesburg.png,,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black,524658,,,black_plus_sign,,,,,null,,,1,1,,,,,,,,,,,,,,,,
null,,color_black,524762,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),527792,,,black_plus_sign,,,,,null,US_Cities_List/boulder.png,US_Cities_List/racine.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),528643,,,yellow,,,,,null,US_Cities_List/boulder.png,US_Cities_List/racine.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,529144,,,yellow,,,,,null,US_Cities_List/boulder.png,US_Cities_List/racine.png,,,,,,,,,,,,,,,,,,
732.3000000119209,,rt_thecrossant_black,530299,,,black_plus_sign,,,,,50,,,1,1,,,,,,,,,,,,,,,,
null,,color_black,530401,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),533419,,,black_plus_sign,,,,,null,US_Cities_List/huntsville.png,US_Cities_List/newhope.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),534516,,,blue,,,,,null,US_Cities_List/huntsville.png,US_Cities_List/newhope.png,,,,,,,,,,,,,,,,,,
479.10000002384186,,rt_plussign_withcolor,535018,,,blue,,,,,49,US_Cities_List/huntsville.png,US_Cities_List/newhope.png,,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black,535927,,,black_plus_sign,,,,,null,,,1,1,,,,,,,,,,,,,,,,
null,,color_black,536029,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),539048,,,black_plus_sign,,,,,null,US_Cities_List/hotsprings.png,US_Cities_List/leesburg.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),539544,,,yellow,,,,,null,US_Cities_List/hotsprings.png,US_Cities_List/leesburg.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,540047,,,yellow,,,,,null,US_Cities_List/hotsprings.png,US_Cities_List/leesburg.png,,,,,,,,,,,,,,,,,,
1625.4000000059605,,rt_thecrossant_black,541557,,,black_plus_sign,,,,,50,,,1,1,,,,,,,,,,,,,,,,
null,,color_black,541659,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),544681,,,black_plus_sign,,,,,null,US_Cities_List/shreveport.png,US_Cities_List/cornwall.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),545313,,,blue,,,,,null,US_Cities_List/shreveport.png,US_Cities_List/cornwall.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,545816,,,blue,,,,,null,US_Cities_List/shreveport.png,US_Cities_List/cornwall.png,,,,,,,,,,,,,,,,,,
689.2999999821186,,rt_thecrossant_black,547188,,,black_plus_sign,,,,,49,,,1,1,,,,,,,,,,,,,,,,
null,,color_black,547291,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),550313,,,black_plus_sign,,,,,null,US_Cities_List/carmel.png,US_Cities_List/newhope.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),550877,,,blue,,,,,null,US_Cities_List/carmel.png,US_Cities_List/newhope.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,551379,,,blue,,,,,null,US_Cities_List/carmel.png,US_Cities_List/newhope.png,,,,,,,,,,,,,,,,,,
799.5999999940395,,rt_thecrossant_black,552821,,,black_plus_sign,,,,,49,,,1,1,,,,,,,,,,,,,,,,
null,,color_black,552924,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),555954,,,black_plus_sign,,,,,null,US_Cities_List/huntsville.png,US_Cities_List/newhope.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),556441,,,blue,,,,,null,US_Cities_List/huntsville.png,US_Cities_List/newhope.png,,,,,,,,,,,,,,,,,,
436.30000001192093,,rt_plussign_withcolor,556943,,,blue,,,,,49,US_Cities_List/huntsville.png,US_Cities_List/newhope.png,,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black,558463,,,black_plus_sign,,,,,null,,,1,1,,,,,,,,,,,,,,,,
null,,color_black,558568,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),561600,,,black_plus_sign,,,,,null,US_Cities_List/racine.png,US_Cities_List/leesburg.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),562248,,,blue,,,,,null,US_Cities_List/racine.png,US_Cities_List/leesburg.png,,,,,,,,,,,,,,,,,,
492.7000000178814,,rt_plussign_withcolor,562750,,,blue,,,,,49,US_Cities_List/racine.png,US_Cities_List/leesburg.png,,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black,564106,,,black_plus_sign,,,,,null,,,1,1,,,,,,,,,,,,,,,,
null,,color_black,564209,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),567223,,,black_plus_sign,,,,,null,US_Cities_List/westpalmbeach.png,US_Cities_List/huntsville.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),567693,,,blue,,,,,null,US_Cities_List/westpalmbeach.png,US_Cities_List/huntsville.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,568195,,,blue,,,,,null,US_Cities_List/westpalmbeach.png,US_Cities_List/huntsville.png,,,,,,,,,,,,,,,,,,
756.0999999940395,,rt_thecrossant_black,569731,,,black_plus_sign,,,,,49,,,1,1,,,,,,,,,,,,,,,,
null,,color_black,569834,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),572855,,,black_plus_sign,,,,,null,US_Cities_List/boulder.png,US_Cities_List/racine.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),573593,,,yellow,,,,,null,US_Cities_List/boulder.png,US_Cities_List/racine.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,574095,,,yellow,,,,,null,US_Cities_List/boulder.png,US_Cities_List/racine.png,,,,,,,,,,,,,,,,,,
648.9000000059605,,rt_thecrossant_black,575364,,,black_plus_sign,,,,,50,,,1,1,,,,,,,,,,,,,,,,
null,,color_black,575466,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),578490,,,black_plus_sign,,,,,null,US_Cities_List/racine.png,US_Cities_List/leesburg.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),578959,,,blue,,,,,null,US_Cities_List/racine.png,US_Cities_List/leesburg.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,579462,,,blue,,,,,null,US_Cities_List/racine.png,US_Cities_List/leesburg.png,,,,,,,,,,,,,,,,,,
971.4000000059605,,rt_thecrossant_black,580998,,,black_plus_sign,,,,,49,,,1,1,,,,,,,,,,,,,,,,
null,,color_black,581101,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),584119,,,black_plus_sign,,,,,null,US_Cities_List/hanover.png,US_Cities_List/westpalmbeach.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),585099,,,yellow,,,,,null,US_Cities_List/hanover.png,US_Cities_List/westpalmbeach.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,585602,,,yellow,,,,,null,US_Cities_List/hanover.png,US_Cities_List/westpalmbeach.png,,,,,,,,,,,,,,,,,,
1025.5,,rt_thecrossant_black,586628,,,black_plus_sign,,,,,50,,,1,1,,,,,,,,,,,,,,,,
null,,color_black,586731,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
